Model,FeatureSet,TestSeason,Accuracy,LogLoss,NumFeatures
HistGradientBoosting,Baseline + HomePointsLast5,24-25,0.4789473684210526,1.4094447793378388,4
HistGradientBoosting,Baseline + AwayPointsLast5,24-25,0.49473684210526314,1.382103418107069,4
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5,24-25,0.4605263157894737,1.4045651640679533,5
HistGradientBoosting,Baseline + PointsDiffLast5,24-25,0.46842105263157896,1.402096785825575,4
HistGradientBoosting,Baseline + HomeAwayPointsDiffLast5,24-25,0.4763157894736842,1.3990309357263282,4
HistGradientBoosting,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,24-25,0.4710526315789474,1.388776820569426,5
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,24-25,0.4710526315789474,1.3881165794531831,6
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,24-25,0.4868421052631579,1.4157265896396307,6
HistGradientBoosting,Baseline + All Points Features,24-25,0.4710526315789474,1.38529169502442,7
LogisticRegression,Baseline,25-26,0.5026315789473684,1.0318841800020995,3
LogisticRegression,Baseline + HomePointsLast5,25-26,0.5026315789473684,1.0298071209216209,4
LogisticRegression,Baseline + AwayPointsLast5,25-26,0.48947368421052634,1.0300730115344077,4
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5,25-26,0.48947368421052634,1.0279008723076577,5
LogisticRegression,Baseline + PointsDiffLast5,25-26,0.4921052631578947,1.0297515234626335,4
LogisticRegression,Baseline + HomeAwayPointsDiffLast5,25-26,0.49736842105263157,1.0319958829424087,4
LogisticRegression,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,25-26,0.4921052631578947,1.0290346058849045,5
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,25-26,0.48947368421052634,1.027895037348462,6
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,25-26,0.49473684210526314,1.0269996259084888,6
LogisticRegression,Baseline + All Points Features,25-26,0.49473684210526314,1.0270106664275604,7
RandomForest,Baseline,25-26,0.42894736842105263,1.1905670743384154,3
RandomForest,Baseline + HomePointsLast5,25-26,0.4605263157894737,1.1576198870031624,4
RandomForest,Baseline + AwayPointsLast5,25-26,0.4473684210526316,1.1282894577329057,4
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5,25-26,0.45526315789473687,1.098622623429563,5
RandomForest,Baseline + PointsDiffLast5,25-26,0.45,1.145159358639417,4
RandomForest,Baseline + HomeAwayPointsDiffLast5,25-26,0.4105263157894737,1.1851427287798773,4
