Model,Features,NumFeatures,MeanAccuracy,WeightedAccuracy,MeanLogLoss,Brier_A,Brier_D,Brier_H,TotalGames,AccuracyChange,LogLossChange
BASELINE + AwayGoalsAgainstPerGame + GoalsAgainstPerGameDiff + HomeElo,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayGoalsAgainstPerGame + GoalsAgainstPerGameDiff + HomeElo,6,0.5394736842105263,0.5394736842105263,0.9926010699530821,0.1917132681734325,0.1845449538501982,0.2148954209836991,1520,-0.001315789473684159,0.0021344525267248393
BASELINE + GDPerGameDiff + AwayAwayGoalsAgainstLast5 + GoalsPerGameDiff + AwayGoalsAgainstPerGame,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + GDPerGameDiff + AwayAwayGoalsAgainstLast5 + GoalsPerGameDiff + AwayGoalsAgainstPerGame,7,0.5375,0.5375,0.9926011364595654,0.19251194147682224,0.1845575840759916,0.21509621877012147,1520,-0.003289473684210509,0.00213451903320816
BASELINE + HomeGoalsLast5 + HomeGoalsAgainstLast5 + AwayGamesPlayed,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeGoalsLast5 + HomeGoalsAgainstLast5 + AwayGamesPlayed,6,0.5375,0.5375,0.9926012723781419,0.19223516415737144,0.18448002388186052,0.21515810206635688,1520,-0.003289473684210509,0.0021346549517846647
BASELINE + AwayGDPerGame + GoalsAgainstPerGameDiff + GoalDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayGDPerGame + GoalsAgainstPerGameDiff + GoalDiffLast5,6,0.5361842105263157,0.5361842105263158,0.9926014691212957,0.1928258107386179,0.18389712579775286,0.21582467205331618,1520,-0.004605263157894779,0.0021348516949384333
BASELINE + AwayShotsOnTargetLast5 + HomeHomePointsLast5 + HomeAwayPointsDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayShotsOnTargetLast5 + HomeHomePointsLast5 + HomeAwayPointsDiffLast5,6,0.5348684210526315,0.5348684210526315,0.9926029710732894,0.1928072062650345,0.18384793255928722,0.215587036739847,1520,-0.005921052631578938,0.0021363536469322097
BASELINE + AwayGamesPlayed + HomeGoalsPerGame + GoalsPerGameDiff,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayGamesPlayed + HomeGoalsPerGame + GoalsPerGameDiff,6,0.5388157894736842,0.5388157894736842,0.9926030558393047,0.19155961914770664,0.18474358222670625,0.21603333750987816,1520,-0.0019736842105262387,0.002136438412947528
BASELINE + AwayGoalsAgainstLast5 + HomeGoalsPerGame + GDPerGameDiff,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayGoalsAgainstLast5 + HomeGoalsPerGame + GDPerGameDiff,6,0.531578947368421,0.531578947368421,0.9926037463163051,0.1916146858495205,0.18485793920180701,0.21570417129409047,1520,-0.009210526315789447,0.0021371288899478813
BASELINE + HomeShotsForLast5 + HomeGDPerGame + GDPerGameDiff,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeShotsForLast5 + HomeGDPerGame + GDPerGameDiff,6,0.5342105263157895,0.5342105263157895,0.9926039577321798,0.19215341616681483,0.18434188325212572,0.21639308483965566,1520,-0.006578947368421018,0.002137340305822577
BASELINE + HomeGoalsAgainstLast5 + HomeGoalsPerGame + AwayElo,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeGoalsAgainstLast5 + HomeGoalsPerGame + AwayElo,6,0.5434210526315789,0.5434210526315789,0.9926040896123766,0.19169680009761264,0.18469445682898944,0.2147418394853403,1520,0.0026315789473684292,0.00213747218601934
BASELINE + HomeGoalsAgainstLast5 + GDPerGameDiff + HomeHomeGoalsAgainstLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeGoalsAgainstLast5 + GDPerGameDiff + HomeHomeGoalsAgainstLast5,6,0.5289473684210526,0.5289473684210526,0.9926041856993868,0.19277194533411326,0.18446933032014823,0.21562694853220143,1520,-0.011842105263157876,0.0021375682730295775
BASELINE + HomeShotsForLast5 + AwayGDPerGame + GDPerGameDiff,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeShotsForLast5 + AwayGDPerGame + GDPerGameDiff,6,0.5342105263157895,0.5342105263157895,0.9926042839874618,0.19215742699605706,0.1843415823627697,0.21639425175625976,1520,-0.006578947368421018,0.0021376665611045897
BASELINE + HomeShotsOnTargetAgainstLast5 + HomeAwayGoalsDiffLast5 + HomeElo,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeShotsOnTargetAgainstLast5 + HomeAwayGoalsDiffLast5 + HomeElo,6,0.544078947368421,0.5440789473684211,0.9926043794408779,0.1921825062861284,0.183862082326711,0.2148516036555905,1520,0.003289473684210509,0.00213776201452065
