Features,NumFeatures,AddedFeatures,Accuracy,AccuracyChange,LogLoss,LogLossChange
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomeShotsOnTargetLast5 + HomeShotsOnTargetAgainstLast5,6,GoalDiffLast5 + HomeShotsOnTargetLast5 + HomeShotsOnTargetAgainstLast5,0.5424050632911392,-0.0006329113924050667,0.9805507597752872,0.002528495169079492
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomeShotsOnTargetLast5 + AwayGDPerGame,6,GoalDiffLast5 + HomeShotsOnTargetLast5 + AwayGDPerGame,0.5386075949367088,-0.004430379746835467,0.9807920703226642,0.002769805716456575
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayGoalsLast5 + AwayPPG,6,GoalDiffLast5 + AwayGoalsLast5 + AwayPPG,0.5379746835443038,-0.005063291139240533,0.9803043731893528,0.002282108583145148
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5,6,GoalDiffLast5 + AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5,0.5417721518987342,-0.0012658227848101333,0.9802840609230232,0.0022617963168155564
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayGoalsLast5 + AwayGDPerGame,6,GoalDiffLast5 + AwayGoalsLast5 + AwayGDPerGame,0.5367088607594936,-0.006329113924050667,0.981163021073229,0.0031407564670212773
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayPPG + HomeShotsOnTargetAgainstLast5,6,GoalDiffLast5 + AwayPPG + HomeShotsOnTargetAgainstLast5,0.5449367088607595,0.0018987341772152,0.9809243743006064,0.0029021096943987468
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + AwayPPG + AwayGDPerGame,6,GoalDiffLast5 + AwayPPG + AwayGDPerGame,0.5417721518987342,-0.0012658227848101333,0.9817831496816627,0.0037608850754550227
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,6,GoalDiffLast5 + HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,0.5430379746835443,0.0,0.9820391776809654,0.004016913074757711
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayPointsLast5 + HomeShotsOnTargetLast5,6,HomePointsLast5 + AwayPointsLast5 + HomeShotsOnTargetLast5,0.5373417721518987,-0.0056962025316456,0.9778311764827379,-0.00019108812346979587
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayPointsLast5 + AwayGoalsLast5,6,HomePointsLast5 + AwayPointsLast5 + AwayGoalsLast5,0.5392405063291139,-0.0037974683544304,0.9787461090396394,0.000723844433431764
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayPointsLast5 + AwayPPG,6,HomePointsLast5 + AwayPointsLast5 + AwayPPG,0.5360759493670886,-0.006962025316455733,0.9783235151017708,0.00030125049556317673
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayPointsLast5 + HomeShotsOnTargetAgainstLast5,6,HomePointsLast5 + AwayPointsLast5 + HomeShotsOnTargetAgainstLast5,0.5392405063291139,-0.0037974683544304,0.9782712606023403,0.00024899599613259493
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayPointsLast5 + AwayGDPerGame,6,HomePointsLast5 + AwayPointsLast5 + AwayGDPerGame,0.5329113924050632,-0.010126582278481067,0.9784138633609807,0.00039159875477301487
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + HomeShotsOnTargetLast5 + AwayGoalsLast5,6,HomePointsLast5 + HomeShotsOnTargetLast5 + AwayGoalsLast5,0.5417721518987342,-0.0012658227848101333,0.980607116145854,0.0025848515396463823
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + HomeShotsOnTargetLast5 + AwayPPG,6,HomePointsLast5 + HomeShotsOnTargetLast5 + AwayPPG,0.5386075949367088,-0.004430379746835467,0.9797432815168552,0.0017210169106475215
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + HomeShotsOnTargetLast5 + HomeShotsOnTargetAgainstLast5,6,HomePointsLast5 + HomeShotsOnTargetLast5 + HomeShotsOnTargetAgainstLast5,0.5417721518987342,-0.0012658227848101333,0.9792030785318468,0.0011808139256391792
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + HomeShotsOnTargetLast5 + AwayGDPerGame,6,HomePointsLast5 + HomeShotsOnTargetLast5 + AwayGDPerGame,0.5379746835443038,-0.005063291139240533,0.9798384828289797,0.0018162182227720036
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayGoalsLast5 + AwayPPG,6,HomePointsLast5 + AwayGoalsLast5 + AwayPPG,0.540506329113924,-0.0025316455696202667,0.9801093142082259,0.0020870496020182205
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5,6,HomePointsLast5 + AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5,0.5417721518987342,-0.0012658227848101333,0.9791988555535637,0.0011765909473560043
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayGoalsLast5 + AwayGDPerGame,6,HomePointsLast5 + AwayGoalsLast5 + AwayGDPerGame,0.5386075949367088,-0.004430379746835467,0.980290805806572,0.002268541200364349
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayPPG + HomeShotsOnTargetAgainstLast5,6,HomePointsLast5 + AwayPPG + HomeShotsOnTargetAgainstLast5,0.5430379746835443,0.0,0.980296308820165,0.0022740442139573824
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + AwayPPG + AwayGDPerGame,6,HomePointsLast5 + AwayPPG + AwayGDPerGame,0.5417721518987342,-0.0012658227848101333,0.981060826498284,0.003038561892076297
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomePointsLast5 + HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,6,HomePointsLast5 + HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,0.5417721518987342,-0.0012658227848101333,0.9808435243971921,0.002821259790984465
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5 + HomeShotsOnTargetLast5 + AwayGoalsLast5,6,AwayPointsLast5 + HomeShotsOnTargetLast5 + AwayGoalsLast5,0.5354430379746835,-0.0075949367088608,0.9807890494150714,0.0027667848088637204
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5 + HomeShotsOnTargetLast5 + AwayPPG,6,AwayPointsLast5 + HomeShotsOnTargetLast5 + AwayPPG,0.5322784810126582,-0.010759493670886133,0.9785574423870423,0.0005351777808346725
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5 + HomeShotsOnTargetLast5 + HomeShotsOnTargetAgainstLast5,6,AwayPointsLast5 + HomeShotsOnTargetLast5 + HomeShotsOnTargetAgainstLast5,0.5430379746835443,0.0,0.9796541166429954,0.0016318520367877287
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5 + HomeShotsOnTargetLast5 + AwayGDPerGame,6,AwayPointsLast5 + HomeShotsOnTargetLast5 + AwayGDPerGame,0.5322784810126582,-0.010759493670886133,0.9790195371051629,0.000997272498955204
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5 + AwayGoalsLast5 + AwayPPG,6,AwayPointsLast5 + AwayGoalsLast5 + AwayPPG,0.5379746835443038,-0.005063291139240533,0.9787091417216235,0.0006868771154158182
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5 + AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5,6,AwayPointsLast5 + AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5,0.5411392405063291,-0.0018987341772152,0.9787464830822683,0.000724218476060634
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5 + AwayGoalsLast5 + AwayGDPerGame,6,AwayPointsLast5 + AwayGoalsLast5 + AwayGDPerGame,0.5373417721518987,-0.0056962025316456,0.9794853186190624,0.0014630540128547365
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5 + AwayPPG + HomeShotsOnTargetAgainstLast5,6,AwayPointsLast5 + AwayPPG + HomeShotsOnTargetAgainstLast5,0.5367088607594936,-0.006329113924050667,0.9783469787617973,0.000324714155589656
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5 + AwayPPG + AwayGDPerGame,6,AwayPointsLast5 + AwayPPG + AwayGDPerGame,0.5297468354430379,-0.0132911392405064,0.9789279067514464,0.0009056421452386942
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPointsLast5 + HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,6,AwayPointsLast5 + HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,0.531012658227848,-0.012025316455696267,0.9790746183032862,0.0010523536970785674
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetLast5 + AwayGoalsLast5 + AwayPPG,6,HomeShotsOnTargetLast5 + AwayGoalsLast5 + AwayPPG,0.540506329113924,-0.0025316455696202667,0.9821228483475452,0.004100583741337482
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetLast5 + AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5,6,HomeShotsOnTargetLast5 + AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5,0.5392405063291139,-0.0037974683544304,0.9827192577388468,0.00469699313263916
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetLast5 + AwayGoalsLast5 + AwayGDPerGame,6,HomeShotsOnTargetLast5 + AwayGoalsLast5 + AwayGDPerGame,0.5360759493670886,-0.006962025316455733,0.9830553345447959,0.005033069938588208
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetLast5 + AwayPPG + HomeShotsOnTargetAgainstLast5,6,HomeShotsOnTargetLast5 + AwayPPG + HomeShotsOnTargetAgainstLast5,0.5411392405063291,-0.0018987341772152,0.9813755935334589,0.0033533289272512645
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetLast5 + AwayPPG + AwayGDPerGame,6,HomeShotsOnTargetLast5 + AwayPPG + AwayGDPerGame,0.5360759493670886,-0.006962025316455733,0.9822436667181875,0.004221402111979855
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetLast5 + HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,6,HomeShotsOnTargetLast5 + HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,0.539873417721519,-0.0031645569620253333,0.9818508311605377,0.0038285665543300595
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayGoalsLast5 + AwayPPG + HomeShotsOnTargetAgainstLast5,6,AwayGoalsLast5 + AwayPPG + HomeShotsOnTargetAgainstLast5,0.5424050632911391,-0.0006329113924051777,0.9803258955048193,0.0023036308986116305
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayGoalsLast5 + AwayPPG + AwayGDPerGame,6,AwayGoalsLast5 + AwayPPG + AwayGDPerGame,0.5379746835443038,-0.005063291139240533,0.9809372224679536,0.0029149578617458927
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,6,AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,0.5373417721518987,-0.0056962025316456,0.9811923720795042,0.0031701074732964907
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPPG + HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,6,AwayPPG + HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,0.5392405063291139,-0.0037974683544304,0.9817740609890511,0.0037517963828433976
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + AwayPointsLast5 + HomeShotsOnTargetLast5,7,GoalDiffLast5 + HomePointsLast5 + AwayPointsLast5 + HomeShotsOnTargetLast5,0.5424050632911392,-0.0006329113924050667,0.9785970260925844,0.0005747614863766959
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + AwayPointsLast5 + AwayGoalsLast5,7,GoalDiffLast5 + HomePointsLast5 + AwayPointsLast5 + AwayGoalsLast5,0.5367088607594936,-0.006329113924050667,0.979511445963152,0.0014891813569443135
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + AwayPointsLast5 + AwayPPG,7,GoalDiffLast5 + HomePointsLast5 + AwayPointsLast5 + AwayPPG,0.5335443037974683,-0.009493670886076,0.9792821306775756,0.0012598660713679655
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + AwayPointsLast5 + HomeShotsOnTargetAgainstLast5,7,GoalDiffLast5 + HomePointsLast5 + AwayPointsLast5 + HomeShotsOnTargetAgainstLast5,0.5360759493670886,-0.006962025316455733,0.9790855393786414,0.001063274772433731
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + AwayPointsLast5 + AwayGDPerGame,7,GoalDiffLast5 + HomePointsLast5 + AwayPointsLast5 + AwayGDPerGame,0.5316455696202531,-0.0113924050632912,0.979375971504016,0.0013537068978083378
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + HomeShotsOnTargetLast5 + AwayGoalsLast5,7,GoalDiffLast5 + HomePointsLast5 + HomeShotsOnTargetLast5 + AwayGoalsLast5,0.5386075949367088,-0.004430379746835467,0.9819674225730115,0.003945157966803836
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + HomeShotsOnTargetLast5 + AwayPPG,7,GoalDiffLast5 + HomePointsLast5 + HomeShotsOnTargetLast5 + AwayPPG,0.5417721518987342,-0.0012658227848101333,0.980118475105904,0.002096210499696327
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + HomeShotsOnTargetLast5 + HomeShotsOnTargetAgainstLast5,7,GoalDiffLast5 + HomePointsLast5 + HomeShotsOnTargetLast5 + HomeShotsOnTargetAgainstLast5,0.5430379746835443,0.0,0.97963981639474,0.0016175517885322899
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + HomeShotsOnTargetLast5 + AwayGDPerGame,7,GoalDiffLast5 + HomePointsLast5 + HomeShotsOnTargetLast5 + AwayGDPerGame,0.540506329113924,-0.0025316455696202667,0.9799772258258719,0.0019549612196642085
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + AwayGoalsLast5 + AwayPPG,7,GoalDiffLast5 + HomePointsLast5 + AwayGoalsLast5 + AwayPPG,0.5379746835443038,-0.005063291139240533,0.9809944988318495,0.0029722342256418566
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5,7,GoalDiffLast5 + HomePointsLast5 + AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5,0.5443037974683544,0.0012658227848101333,0.9801629976425204,0.002140733036312681
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + AwayGoalsLast5 + AwayGDPerGame,7,GoalDiffLast5 + HomePointsLast5 + AwayGoalsLast5 + AwayGDPerGame,0.5360759493670886,-0.006962025316455733,0.9814085852410385,0.0033863206348307973
