TestSeason,Feature,Accuracy,LogLoss
25-26,PointsDiffLast5,0.4368421052631579,1.0648191517259118
25-26,GoalAgainstDiffLast5,0.4342105263157895,1.0716732024736866
25-26,ShotDiffLast5,0.45526315789473687,1.0667130495518498
25-26,ShotOTDiffLast5,0.42894736842105263,1.0748839200624996
25-26,HomeElo,0.4710526315789474,1.0632784943061029
25-26,AwayElo,0.44473684210526315,1.06283507165995
25-26,EloDiffFeature,0.4842105263157895,1.0328261230786355
25-26,EloDiff,0.4842105263157895,1.0328261230786355
25-26,HomeAwayPPGDiff,0.4473684210526316,1.068643648504013
25-26,HomeAwayGoalsDiff,0.44473684210526315,1.0732596260436218
25-26,HomeAwayGoalsAgainstDiff,0.4421052631578947,1.0730639260285921
25-26,HomeAwayShotsDiff,0.45526315789473687,1.06671304955185
25-26,HomeAwayShotsOTDiff,0.42894736842105263,1.0748839200624996
